      ESP Fit Center  289 is at  -1.950000 -1.800000 -1.829615
      ESP Fit Center  290 is at  -1.950000 -1.800000 -1.529615
      ESP Fit Center  291 is at  -1.950000 -1.800000 -1.229615
      ESP Fit Center  292 is at  -1.950000 -1.800000 -0.929615
      ESP Fit Center  293 is at  -1.950000 -1.800000 -0.629615
      ESP Fit Center  294 is at  -1.950000 -1.800000 -0.329615
      ESP Fit Center  295 is at  -1.950000 -1.800000 -0.029615
      ESP Fit Center  296 is at  -1.950000 -1.800000  0.270385
      ESP Fit Center  297 is at  -1.950000 -1.800000  0.570385
      ESP Fit Center  298 is at  -1.950000 -1.800000  0.870385
      ESP Fit Center  299 is at  -1.950000 -1.800000  1.170385
      ESP Fit Center  300 is at  -1.950000 -1.500000 -2.129615
      ESP Fit Center  301 is at  -1.950000 -1.500000 -1.829615
      ESP Fit Center  302 is at  -1.950000 -1.500000 -1.529615
      ESP Fit Center  303 is at  -1.950000 -1.500000 -1.229615
      ESP Fit Center  304 is at  -1.950000 -1.500000 -0.929615
      ESP Fit Center  305 is at  -1.950000 -1.500000 -0.629615
      ESP Fit Center  306 is at  -1.950000 -1.500000 -0.329615
      ESP Fit Center  307 is at  -1.950000 -1.500000 -0.029615
      ESP Fit Center  308 is at  -1.950000 -1.500000  0.270385
      ESP Fit Center  309 is at  -1.950000 -1.500000  0.570385
      ESP Fit Center  310 is at  -1.950000 -1.500000  0.870385
      ESP Fit Center  311 is at  -1.950000 -1.500000  1.170385
      ESP Fit Center  312 is at  -1.950000 -1.200000 -2.429615
      ESP Fit Center  313 is at  -1.950000 -1.200000 -2.129615
      ESP Fit Center  314 is at  -1.950000 -1.200000 -1.829615
      ESP Fit Center  315 is at  -1.950000 -1.200000 -1.529615
      ESP Fit Center  316 is at  -1.950000 -1.200000 -1.229615
      ESP Fit Center  317 is at  -1.950000 -1.200000 -0.929615
      ESP Fit Center  318 is at  -1.950000 -1.200000 -0.629615
      ESP Fit Center  319 is at  -1.950000 -1.200000 -0.329615
      ESP Fit Center  320 is at  -1.950000 -1.200000 -0.029615
      ESP Fit Center  321 is at  -1.950000 -1.200000  0.270385
      ESP Fit Center  322 is at  -1.950000 -1.200000  0.570385
      ESP Fit Center  323 is at  -1.950000 -1.200000  0.870385
      ESP Fit Center  324 is at  -1.950000 -1.200000  1.170385
      ESP Fit Center  325 is at  -1.950000 -1.200000  1.470385
      ESP Fit Center  326 is at  -1.950000 -0.900000 -2.429615
      ESP Fit Center  327 is at  -1.950000 -0.900000 -2.129615
      ESP Fit Center  328 is at  -1.950000 -0.900000 -1.829615
